AA,Reina Beatrix Intl,TNCA,,-70.015221,12.501389,00060
AC,V C Bird Intl,TAPA,,-61.792667,17.136749,00062
AE,Al Saqr,OM01,,55.960380,25.755349,00015
AE,Arzanah,OMAR,,52.559944,24.780528,00015
AE,Al Hamra Aux,OMAH,,52.463644,24.073981,00050
AE,Minhad Ab,OMDM,,55.366244,25.026819,00165
AE,Sharjah Intl,OMSJ,,55.517150,25.328575,00111
AE,Abu Dhabi Intl,OMAA,,54.651138,24.432972,00088
AE,Al Dhafra,OMAM,,54.547722,24.248249,00077
AE,Zirku,OMAZ,,53.077833,24.861542,00014
AE,Dubai Intl,OMDB,,55.364444,25.252778,00062
AE,Yas Island,OM10,,52.580353,24.283994,00025
AE,Fujairah Intl,OMFJ,,56.323964,25.112225,00152
AE,Ras Al Khaimah Intl,OMRK,,55.938817,25.613483,00102
AE,Das Island,OMAS,,52.873711,25.146219,00012
AE,Bateen,OMAD,,54.458084,24.428333,00016
AE,Al Ain Intl,OMAL,,55.609167,24.261667,00869
AE,Abu Dhabi Northeast,OM11,,54.980064,24.518856,00088
AE,Jebel Dhana,OMAJ,,52.614000,24.187428,00043
AF,Herat,OAHR,,62.228300,34.210017,03206
AF,Mazar I Sharif,OAMS,,67.209678,36.706914,01284
AF,Bagram,OAIX,,69.264972,34.946139,04895
AF,Kandahar,OAKN,,65.847822,31.505756,03337
AF,Shindand,OASD,,62.260975,33.391331,03773
AF,Jalalabad,OAJL,,70.498625,34.399842,01814
AF,Konduz,OAUZ,,68.910833,36.665111,01457
AF,Kabul Intl,OAKB,,69.212328,34.565853,05877
AF,Sheberghan,OASG,,65.913164,36.750783,01053
AF,Maimana,OAMN,,64.760917,35.930789,02743
AG,Batna,DABT,,6.308589,35.752106,02697
AG,Illizi,DA10,,8.483656,26.573567,01778
AG,Soummam,DAAE,,5.069922,36.711997,00020
AG,Annaba,DABB,,7.809167,36.822225,00016
AG,Zenata,DAON,,-1.450000,35.016667,00814
AG,Tiska,DAAJ,,9.452444,24.292767,03176
AG,Bechar,DAOR,,-2.269861,31.645744,02661
AG,Boufarik,DAAK,,2.876111,36.545834,00335
